FDT_DATE_TIME,FDT_DEPTH,FDT_TEMP_CELCIUS,FDT_FIELD_PH,AMMONIA,acuteNH3limit,chronicNH3limit,4dayAvglimit
2015-01-21T18:25:00Z,0.3,4.75,7.91,0,6.64,2.04,5.1
2015-04-30T16:00:00Z,0.3,14.66,7.97,0,5.94,1.14,2.85
2015-05-14T14:30:00Z,0.3,20.81,8.26,0,2.21,0.49,1.23
2015-06-09T14:30:00Z,0.3,24.63,8.35,0.03,1.35,0.33,0.82
2015-06-23T12:45:00Z,0,28.23,8.1,0.03,1.63,0.39,0.98
2015-07-13T18:30:00Z,0.3,25.86,8.12,0.02,1.91,0.45,1.12
2015-08-10T17:45:00Z,0.3,26.12,8.38,0.03,1.13,0.29,0.72
2015-09-09T16:30:00Z,0.3,26.32,8.13,0.04,1.8,0.43,1.07
2015-10-19T18:00:00Z,0.3,13.38,8.46,0.01,2.31,0.57,1.42
2015-11-18T18:30:00Z,0.3,10.39,8.13,0.02,4.38,1.19,2.97
2015-12-21T18:30:00Z,0.3,5.94,7.95,0.01,6.17,1.93,4.83
2016-01-21T20:00:00Z,0.3,1.37,7.48,0,13.68,3.28,8.2
2016-02-23T20:20:00Z,0.3,7.62,8.01,0.02,5.51,1.7,4.25
2016-03-24T18:15:00Z,0.3,12.24,7.95,0.02,6.17,1.38,3.45
2016-04-07T14:30:00Z,0.3,12.84,8.19,0.01,3.9,0.92,2.3
2016-05-23T18:10:00Z,0.3,16.55,7.89,0.01,6.38,1.13,2.82
2016-06-14T17:30:00Z,0.3,24.72,8.19,0.05,1.83,0.43,1.07
2016-07-05T17:30:00Z,0.3,22.66,8.11,0.03,2.54,0.56,1.4
2016-09-01T16:40:00Z,0.3,27.32,8.18,0.02,1.51,0.37,0.92
2016-10-20T14:30:00Z,0.3,19.47,8.24,0.01,2.57,0.56,1.4
2016-12-21T16:50:00Z,0.3,2.69,7.97,0,5.94,1.88,4.7
2017-01-26T19:15:00Z,0.3,9.09,7.23,0.03,19.06,3.42,8.55
2017-02-22T16:30:00Z,0.3,10.41,7.9,0.03,6.77,1.66,4.15
2017-03-07T18:00:00Z,0.3,8.7,7.67,0.01,10.14,2.45,6.12
2017-05-30T14:45:00Z,0.3,17.44,7.74,0.01,7.74,1.29,3.23
2017-06-12T17:00:00Z,0.3,24.95,7.86,0.02,3.36,0.68,1.7
2017-07-12T17:30:00Z,0.3,28.01,8.49,0.02,0.78,0.21,0.52
2017-08-21T17:30:00Z,0.3,28.56,8.47,0.02,0.77,0.21,0.52
2017-09-12T17:00:00Z,0.3,19.44,8.29,0,2.34,0.51,1.27
2017-10-18T17:20:00Z,0.3,17.62,7.94,0.01,5.32,0.99,2.48
2017-11-07T17:15:00Z,0.3,14.31,8.05,0.01,5.11,1.04,2.6
2017-12-11T19:00:00Z,0.3,4.62,8.23,0.01,3.61,1.26,3.15
2018-01-30T18:45:00Z,0.3,5.51,8.12,0.01,4.47,1.5,3.75
2018-02-26T16:30:00Z,0.3,11.67,7.63,0.01,10.84,2.11,5.27
2018-03-05T18:30:00Z,0.3,7.61,7.97,0,5.94,1.8,4.5
2018-04-30T16:30:00Z,0.3,13.53,7.98,0.01,5.83,1.21,3.02
2018-05-29T18:30:00Z,0.3,20.54,7.86,0.02,4.84,0.91,2.27
2018-06-14T17:20:00Z,0.3,22.47,8.22,0.02,2.08,0.47,1.17
2018-07-11T16:00:00Z,0.3,27.4,8.42,0.02,0.94,0.25,0.62
2018-08-02T13:00:00Z,0.3,25.91,8.26,0.03,1.45,0.35,0.88
2018-09-13T12:55:00Z,0.3,22.46,7.99,0.05,3.24,0.67,1.68
2018-10-31T15:00:00Z,0.3,11.59,8.32,0.01,3.03,0.81,2.03
2018-12-05T18:10:00Z,0.3,7.5,8.24,0,3.54,1.2,3
